Name,Name_C,Type,District,State,Established,Majority_Ethnic,Majority_Dialect,X,Y,Notes
Ampang,安邦,Kampung Baru Tradisional,Hulu Langat,Selangor,1952,Chinese,Hakka,101.7614,3.13734,
Balakong,无拉港,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,Hakka,101.74731,3.02898,
Bangi,万宜,Kampung Baru Tradisional,Hulu Langat,Selangor,1952,Chinese,Hokkien,101.78369,2.90226,
"Batu 9, Cheras",蕉赖九哩,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,,101.76884,3.07186,
"Batu 11, Cheras",蕉赖十一哩,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,Hokkien,101.77333,3.04572,
"Batu 14, Hulu Langat",呀吃十四哩,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,Hakka,101.81436,3.1134,
"Kenangan 18, Hulu Langat (Batu 18, Hulu Langat)",呀吃十八哩,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,Hakka,101.82936,3.11606,
Semeyih (Seri Semenyih),士毛月,Kampung Baru Tradisional,Hulu Langat,Selangor,1952,Chinese,Hakka,101.84263,2.95186,
Sungai Chua,锡米山,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,Hakka,101.77445,2.99075,
Tarun Broga,打仑武来岸,Kampung Baru Tradisional,Hulu Langat,Selangor,1950,Chinese,Hakka,101.91049,2.93825,
Bukit Angkat,仙水港,Kampung Baru Rangkaian,Hulu Langat,Selangor,,Chinese,Hakka,101.76934,2.99595,
Kwan Tung Baru,关东村,Kampung Baru Rangkaian,Hulu Langat,Selangor,,Chinese,Hakka,101.77682,2.98285,
"Air Panas, Kerling",吉粦（热水湖）,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Hakka,101.60884,3.5917,
"Asam Kumbang, Kuala Kubu Bharu",新古毛,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Hakka,101.66428,3.56336,
"Bukit Chandang, Batang Kali",峇东加里,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Hokkien,101.63937,3.46498,
"Damai, Serendah",双文丹,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Cantonese,101.5988,3.36448,
"Chuang, Rasa",叻思,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Hakka,101.63082,3.49422,
"Sejantung, Kalumpang",龙邦,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Cantonese,101.56994,3.63528,
"Gurney, Ulu Yam Bharu",乌鲁音峇鲁（葛尼新村）,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,,101.66236,3.42198,
Stesyen Hulu Yam Lama,乌鲁音南马,Kampung Baru Tradisional,Hulu Selangor,Selangor,1950,Chinese,Hokkien,101.64142,3.45405,
Kampung Hassan,哈山村,Kampung Baru Rangkaian,Hulu Selangor,Selangor,,"Chinese, Indian",,101.51727,3.67243,
Kilang Papan,板厂村,Kampung Baru Rangkaian,Hulu Selangor,Selangor,,Chinese,,101.53041,3.66973,
"Kampung Menyuruk, Batang Kali",民友路村,Kampung Baru Rangkaian,Hulu Selangor,Selangor,,Chinese,Hokkien,101.63597,3.46848,
"Kampung Datuk Harun, Serendah",哈仑村,Kampung Baru Rangkaian,Hulu Selangor,Selangor,,Chinese,,101.60912,3.36742,
"Kampung Koskan, Serendah",柯士干村,Kampung Baru Rangkaian,Hulu Selangor,Selangor,,Indian,N/A,101.56191,3.35966,
Pandamaran,班达马兰,Kampung Baru Tradisional,Klang,Selangor,1952,Chinese,Hokkien,101.41338,3.00801,
Bagan Hailam,海南村,Kampung Bagan,Klang,Selangor,,Chinese,Hainanese,101.38657,3.00243,
Bagan Sungai Lima,五条港,Kampung Bagan,Klang,Selangor,,Chinese,Hokkien,101.2783,3.03984,
Pulau Ketam,吉胆岛,Kampung Bagan,Klang,Selangor,,Chinese,"Teochew, Hokkien",101.25245,3.0214,
Jenjarom (Sungai Jarum),仁嘉隆,Kampung Baru Tradisional,Kuala Langat,Selangor,1950,Chinese,Hokkien,101.49613,2.87669,
Tanjung Sepat (Tanjung Sepat Indah),丹绒士拔,Kampung Baru Tradisional,Kuala Langat,Selangor,1950,Chinese,"Teochew, Hokkien",101.55989,2.65969,
Ijok Baru,依约,Kampung Baru Tradisional,Kuala Selangor,Selangor,1951,Chinese,Hokkien,101.41404,3.3161,
Batang Berjuntai (Bestari Jaya),八丁燕带,Kampung Baru Tradisional,Kuala Selangor,Selangor,1956,Chinese,,101.40717,3.37795,
Tiram Setia,峇东,Kampung Baru Tradisional,Kuala Selangor,Selangor,1958,Chinese,Hokkien,101.24703,3.42652,
Bagan Pasir,峇眼巴西,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,Hokkien,101.17098,3.40143,
Bagan Pasir Penambang,巴西不南邦,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,Hokkien,101.25268,3.34753,
Bagan Sasaran (Sungai Buloh),沙沙兰,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,,101.30479,3.25878,
Bagan Sungai Janggut,双溪章谷（胡须港）,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,Hokkien,101.31047,3.17327,
Bagan Sungai Kajang,双溪加江,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,Hokkien,101.16918,3.40163,
Bagan Sungai Tengkorak,东姑腊,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,Teochew,101.13439,3.4491,
Bagan Sungai Yu Baru,双溪由,Kampung Bagan,Kuala Selangor,Selangor,,Chinese,Hokkien,101.24805,3.35389,
"Batu 14, Puchong",蒲种十四哩,Kampung Baru Tradisional,Petaling,Selangor,1950,Chinese,"Hakka, Cantonese",101.62313,2.9943,
Damansara (Seri Damansara),白沙罗,Kampung Baru Tradisional,Petaling,Selangor,1950,Chinese,,101.63248,3.12952,
Seri Kembangan (Serdang),史里肯邦安（沙登）,Kampung Baru Tradisional,Petaling,Selangor,1950,Chinese,Hakka,101.70299,3.02523,
Seri Setia (Sungai Way),双溪威,Kampung Baru Tradisional,Petaling,Selangor,1950,Chinese,,101.61789,3.08941,
Subang (Seri Subang),梳邦,Kampung Baru Tradisional,Petaling,Selangor,1950,Chinese,Hakka,101.53612,3.14302,
Sungai Buloh (Seri Sungai Buloh),双溪毛糯,Kampung Baru Tradisional,Petaling,Selangor,1950,Chinese,,101.56506,3.19784,
Kampung Cempaka,千百家村,Kampung Baru Rangkaian,Petaling,Selangor,,Chinese,Cantonese,101.59855,3.11727,
Sekinchan Site A (Kian Sit),适耕庄Ａ村（垦殖村）,Kampung Baru Tradisional,Sabak Bernam,Selangor,1951,Chinese,Hokkien,101.142,3.52626,
Sekinchan Site B,适耕庄Ｂ村,Kampung Baru Tradisional,Sabak Bernam,Selangor,1951,Chinese,"Hakka, Cantonese",101.10771,3.50304,
Sekinchan Site C,适耕庄Ｃ村,Kampung Baru Tradisional,Sabak Bernam,Selangor,1951,Chinese,Hokkien,101.10025,3.5138,
Bagan Beting Kepah,文丁哥坝,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.82786,3.78733,
Bagan Nakhoda Omar (Simpang BNO),乌暹,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.87623,3.76979,
Bagan Parit Baru,新沟,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.84521,3.84536,
Bagan Sekinchan,适耕庄海口渔村,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,101.09722,3.50324,
Bagan Sungai Besar,大港,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.98175,3.6716,
Bagan Sungai Burung,双武隆,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.93593,3.6926,
Bagan Sungai Lang,水柳头,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.82772,3.84477,
Bagan Sungai Pulai,浅顶,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.91954,3.72647,
Bagan Teluk Rhu,德古鲁,Kampung Bagan,Sabak Bernam,Selangor,,Chinese,Teochew,100.83381,3.78574,
Dengkil (Seri Dengkil),龙溪,Kampung Baru Tradisional,Sepang,Selangor,1950,Chinese,Hokkien,101.67971,2.86067,
Salak,沙叻,Kampung Baru Tradisional,Sepang,Selangor,1952,Chinese,Hainanese,101.75158,2.7833,
Sepang (Sepang Jaya),雪邦,Kampung Baru Tradisional,Sepang,Selangor,1950,Chinese,Foochow,101.74843,2.68731,
Sungai Pelek (Seri Sungai Pelek),双溪比力,Kampung Baru Tradisional,Sepang,Selangor,1950,Chinese,Foochow,101.71227,2.64212,
Batu Satu,一支港,Kampung Baru Rangkaian,Sepang,Selangor,,Chinese,Hokkien,101.73828,2.68429,not gazetted or degazetted by Selangor government
Batu Lima,龙运五哩,Kampung Baru Tradisional,Dungun,Terengganu,1950,Chinese,,103.4169,4.71524,
Air Jernih,亚依仁耐,Kampung Baru Tradisional,Kemaman,Terengganu,1954,Chinese,Hainanese,103.39552,4.4083,
Pulai Baru,蒲莱,Kampung Baru Tradisional,Kuala Nerus,Terengganu,1953,Chinese,Hakka,103.0585,5.37369,
Kuala Sedili,瓜拉素里里,Kampung Baru Rangkaian,Kota Tinggi,Johor,,Chinese,,104.12154,1.92721,degazetted 2022
Batu 28 Lenga,岭嘉28哩,Kampung Baru Tradisional,Muar,Johor,,Malay,N/A,102.83381,2.25008,not gazetted by KPKT
Simpang Empat,新邦安拔,Kampung Baru Tradisional,Baling,Kedah,,Siamese,N/A,100.93359,5.67581,not gazetted by KPKT
Kenaboi,枧唐尾,Kampung Baru Tradisional,Jelebu,Negeri Sembilan,,Malay,N/A,102.07331,3.09058,not gazetted by KPKT
Simpang Durian,新邦榴梿,Kampung Baru Tradisional,Jelebu,Negeri Sembilan,,Malay,N/A,102.22268,3.10159,not gazetted by KPKT
Sungai Buloh,双溪毛糯,Kampung Baru Tradisional,Jelebu,Negeri Sembilan,,Malay,N/A,102.24271,3.10876,not gazetted by KPKT
Gemeti,哥猛狄,Kampung Baru Tradisional,Bentong,Pahang,,Malay,N/A,101.90998,3.49976,not gazetted by KPKT
Kampung Bikam,甘榜美金,Kampung Baru Tradisional,Batang Padang,Perak,,Malay,N/A,101.29299,4.04579,not gazetted by KPKT
Ayer Hitam,阿依淡,Kampung Baru Tradisional,Hilir Perak,Perak,,Malay,N/A,101.20285,4.0205,not gazetted by KPKT
"Batu 8, Changkat Jong",曾吉容八英里,Kampung Baru Tradisional,Hilir Perak,Perak,,Malay,N/A,101.12225,3.98244,not gazetted by KPKT
Balik Bukit,巴力武吉,Kampung Baru Tradisional,Kerian,Perak,,Malay,N/A,100.67061,4.95647,not gazetted by KPKT
Kampung Selamat,甘榜司南末,Kampung Baru Tradisional,Kerian,Perak,,Malay,N/A,100.68813,4.98596,not gazetted by KPKT
Pasir Puteh Baru,新和园,Kampung Baru Tradisional,Kinta,Perak,,Chinese,,101.07967,4.56707,not gazetted by KPKT
Bagan Baharu,峇眼峇汝,Kampung Baru Tradisional,Larut Matang,Perak,,Malay,N/A,100.75099,5.13541,not gazetted by KPKT
Sungai Dendang,双溪任浪,Kampung Baru Tradisional,Larut Matang,Perak,,Malay,N/A,100.71121,5.16909,not gazetted by KPKT
