NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,NAMASEKOLAH_C,ALAMATSURAT,POSKODSURAT,BANDARSURAT,TARIKHTUBUHSEKOLAH,KOORDINATXX,KOORDINATYY
PERAK,PPD MANJUNG,ABC1057,SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN GURNEY,格尼市华小,PEKAN GURNEY,32010,SITIAWAN,1/1/1924,100.7465467,4.224031815
PERAK,PPD MANJUNG,ABC1058,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG LIMA,五条路华小,SIMPANG LIMA,32010,SITIAWAN,1/1/1952,100.7589291,4.247336415
PERAK,PPD MANJUNG,ABC1059,SEKOLAH JENIS KEBANGSAAN (CINA) KOK MING,新甘光国民华小,KG. BAHARU(L),32400,AYER TAWAR,27/5/1925,100.675061,4.293385
PERAK,PPD MANJUNG,ABC1061,SEKOLAH JENIS KEBANGSAAN (CINA) AYER TAWAR,爱大华华小,JALAN AYER TAWAR,32400,AYER TAWAR,1/1/1952,100.7619346,4.294214111
PERAK,PPD MANJUNG,ABC1062,SEKOLAH JENIS KEBANGSAAN (CINA) MIN TE,爱大华民德华小,JLN SEKOLAH,32400,AYER TAWAR,1/1/1927,100.7602573,4.300560019
PERAK,PPD MANJUNG,ABC1063,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG JERING,爱大华哲仁华小,KAMPUNG JERING,32400,AYER TAWAR,1/1/1953,100.7800617,4.347858734
PERAK,PPD MANJUNG,ABC1064,SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,培民华小,KG RAJA HITAM,32400,AYER TAWAR,1/1/1950,100.7514313,4.336647036
PERAK,PPD MANJUNG,ABC1065,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPONG MERBAU,甘光马坡华小,JALAN PANTAI REMIS,32400,AYER TAWAR,1/1/1952,100.74886,4.337735
PERAK,PPD MANJUNG,ABC1066,SEKOLAH JENIS KEBANGSAAN (CINA) KHUEN HEAN,莫珍歪群贤华小,CHANGKAT KRUING,32500,CHANGKAT KRUING,1/3/1932,100.6888846,4.378532948
PERAK,PPD MANJUNG,ABC1067,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI BATU,双溪峇都华小,SUNGAI BATU,34900,PANTAI REMIS,1/1/1949,100.6560503,4.432133366
PERAK,PPD MANJUNG,ABC1068,SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,昔加里培民华小,SEGARI,32200,LUMUT,1/1/1939,100.625128,4.34647
PERAK,PPD MANJUNG,ABC1069,SEKOLAH JENIS KEBANGSAAN (CINA) TIT BIN,班台直民华小,PANTAI REMIS,34900,PANTAI REMIS,12/2/1923,100.630129,4.45984
PERAK,PPD MANJUNG,ABC1070,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHING,木歪培青华小,JALAN BERUAS TAIPING,32700,BERUAS,21/12/1924,100.781547,4.499848
PERAK,PPD MANJUNG,ABC1071,SEKOLAH JENIS KEBANGSAAN (CINA) YEN MIN,双礼佛渊民华小,JALAN BAGAN PANCHOR,34900,PANTAI REMIS,1/1/1932,100.6397246,4.52786632
PERAK,PPD KINTA UTARA,ABC2100,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHOY,怡保育才华小,"195, JALAN SULTAN ISKANDAR",30000,IPOH,1/1/1908,101.0880097,4.592705043
PERAK,PPD KINTA UTARA,ABC2101,SEKOLAH JENIS KEBANGSAAN (CINA) PERAK,怡保霹雳华小,"87, PEOPLE'S PARK",30000,IPOH,1/1/1917,101.0785139,4.593030896
PERAK,PPD KINTA UTARA,ABC2102,SEKOLAH JENIS KEBANGSAAN (CINA) SAM TET,怡保三德华小,"NO.22, JALAN GEREJA",30300,IPOH,31/12/1934,101.0874759,4.59491254
PERAK,PPD KINTA UTARA,ABC2103,SEKOLAH JENIS KEBANGSAAN (CINA) AVE MARIA CONVENT,怡保圣母华小,JALAN CHUNG THYE PHIN,30250,IPOH,1/1/1938,101.0885215,4.589617643
PERAK,PPD KINTA UTARA,ABC2104,SEKOLAH JENIS KEBANGSAAN (CINA) YUH HUA,怡保育华华小,TAMAN PERTAMA,30100,IPOH,6/7/1946,101.053879,4.593769
PERAK,PPD KINTA UTARA,ABC2105,SEKOLAH JENIS KEBANGSAAN (CINA) POI LAM,怡保培南华小,"PT21071, BANDAR BARU SRI KLEBANG, JALAN KUALA KANGSAR",31200,CHEMOR,7/7/1925,101.117782,4.692179
PERAK,PPD KINTA UTARA,ABC2106,SEKOLAH JENIS KEBANGSAAN (CINA) MIN TET,怡保明德华小,JALAN SPOONER FALIM,30200,IPOH,1/1/1912,101.062957,4.582996444
PERAK,PPD KINTA UTARA,ABC2107,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG SHAN,怡保中山华小,"129, JALAN TREACHER (S)",30000,IPOH,10/10/1939,101.077695,4.590849
PERAK,PPD KINTA UTARA,ABC2108,SEKOLAH JENIS KEBANGSAAN (CINA) SAM CHAI,怡保三才华小,JALAN SHAH BANDAR,31650,IPOH,1/1/1941,101.079777,4.580095
PERAK,PPD KINTA UTARA,ABC2109,SEKOLAH JENIS KEBANGSAAN (CINA) PASIR PINJI (1),巴沙彬如华小一校,JALAN PADANG,31650,IPOH,29/6/1939,101.0901031,4.572613352
PERAK,PPD KINTA UTARA,ABC2110,SEKOLAH JENIS KEBANGSAAN (CINA) PASIR PINJI (2),巴沙彬如华小二校,JLN SEKOLAH,31650,IPOH,1/1/1962,101.089644,4.571977
PERAK,PPD KINTA UTARA,ABC2111,SEKOLAH JENIS KEBANGSAAN (CINA) GUNTONG,怡保文冬华小,"JALAN SEKOLAH, KG. BARU BUNTONG",30100,IPOH,1/11/1951,101.0598905,4.595964098
PERAK,PPD KINTA UTARA,ABC2112,SEKOLAH JENIS KEBANGSAAN (CINA) WAN HWA (1),万里望万华华小一校,NO 1 JLN LEE LOY SENG MENGLEMBU,31450,MENGLEMBU,1/1/1914,101.0472643,4.567323827
PERAK,PPD KINTA UTARA,ABC2113,SEKOLAH JENIS KEBANGSAAN (CINA) WAN HWA (2),万里望万华华小二校,TAMAN RASI JAYA,31450,MENGLEMBU,1/1/1914,101.032029,4.577768
PERAK,PPD KINTA UTARA,ABC2114,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG TACK,怡保崇德华小,"LEBUH 2, SIMEE",31400,IPOH,8/10/1935,101.10668,4.617304
