NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,NAMASEKOLAH_C,ALAMATSURAT,POSKODSURAT,BANDARSURAT,TARIKHTUBUHSEKOLAH,KOORDINATXX,KOORDINATYY
SELANGOR,PPD SEPANG,BBC9402,SEKOLAH JENIS KEBANGSAAN (CINA) DENGKIL,龙溪华小,DENGKIL,43800,DENGKIL,1/1/1950,101.6777037,2.859605909
SELANGOR,PPD SEPANG,BBC9403,SEKOLAH JENIS KEBANGSAAN (CINA) SEPANG,雪邦华小,KAMPUNG BARU (BERDEKATAN KLINIK DESA SEPANG),43900,SEPANG,1/1/1934,101.749153,2.689104386
SELANGOR,PPD SEPANG,BBC9404,SEKOLAH JENIS KEBANGSAAN (CINA) SIN MING,新民华小,"BATU 16, JLN PUCHONG",47100,PUCHONG,1/1/1934,101.613631,2.966116
SELANGOR,PPD SEPANG,BBC9405,SEKOLAH JENIS KEBANGSAAN (CINA) TCHE MIN,双溪比力智明华小,PEKAN SUNGAI PELEK,43950,SUNGAI PELEK,1/1/1937,101.717123,2.645198
SELANGOR,PPD SEPANG,BBC9406,SEKOLAH JENIS KEBANGSAAN (CINA) WAH LIAN,双溪比力华联华小,KAMPUNG BARU,43950,SUNGAI PELEK,1/8/1927,101.714027,2.642554
SELANGOR,PPD SEPANG,BBC9407,SEKOLAH JENIS KEBANGSAAN (CINA) UNION,赛城联合华小,"JALAN UNION, PERSIARAN SEPANG, CYBER 11",63000,CYBERJAYA,5/5/1952,101.6301252,2.925668654
PAHANG,PPD BENTONG,CBC0023,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN PAGI,文冬启文华小上午校,JALAN CHUI YIN,28700,BENTONG,1/1/1916,101.9062749,3.523531315
PAHANG,PPD BENTONG,CBC0024,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN REPAS,文冬启文力巴士华小,KG REPAS,28700,BENTONG,1/1/1958,101.9038398,3.529292399
PAHANG,PPD BENTONG,CBC0025,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MUN CHAMANG,文冬启文暹猛华小,"JALANTEH ENG SUAN, KAMPUNG CHAMANG",28700,BENTONG,1/1/1950,101.902852,3.528317676
PAHANG,PPD BENTONG,CBC0027,SEKOLAH JENIS KEBANGSAAN (CINA) KETARI,文冬吉打里华小,KAMPUNG BARU KETARI,28700,BENTONG,1/1/1952,101.912,3.50748
PAHANG,PPD BENTONG,CBC0028,SEKOLAH JENIS KEBANGSAAN (CINA) PERTING,文冬玻璃口华小,KG PERTING,28700,BENTONG,30/3/1951,101.906,3.51808
PAHANG,PPD BENTONG,CBC0029,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI DUA,加叻双溪都亚华小,KG. SUNGAI DUA,28600,KARAK,1/1/1946,101.9953733,3.457070787
PAHANG,PPD BENTONG,CBC0030,SEKOLAH JENIS KEBANGSAAN (CINA) KARAK,加叻华小,KM 5 JALAN BESAR KARAK,28600,KARAK,25/7/1931,102.034,3.41317
PAHANG,PPD BENTONG,CBC0033,SEKOLAH JENIS KEBANGSAAN (CINA) TELEMONG,加叻地里望华小,JALAN BESAR TELEMONG,28620,KARAK,1/1/1940,102.0884622,3.293301
PAHANG,PPD BENTONG,CBC0034,SEKOLAH JENIS KEBANGSAAN (CINA) MANCHIS,文冬文积华小,JALAN BESAR MANCHIS,28730,BENTONG,1/10/1947,102.1636777,3.199794939
PAHANG,PPD BENTONG,CBC0035,SEKOLAH JENIS KEBANGSAAN (CINA) BUKIT TINGGI,武吉丁宜华小,"KM32, LEBUHRAYA KARAK KL",28750,BENTONG,1/1/1948,101.8176075,3.351684787
PAHANG,PPD BENTONG,CBC0036,SEKOLAH JENIS KEBANGSAAN (CINA) LURAH BILUT,美律谷华小,FELDA LURAH BILUT,28800,LURAH BILUT,9/4/1961,101.8938773,3.65945923
PAHANG,PPD CAMERON HIGHLANDS,CBC1004,SEKOLAH JENIS KEBANGSAAN (CINA) CAMERON,金马仑华小,JALAN BESAR RINGLET KE TANAH RATA,39200,RINGLET,17/2/1936,101.3814917,4.414152778
PAHANG,PPD CAMERON HIGHLANDS,CBC1005,SEKOLAH JENIS KEBANGSAAN (CINA) TANAH RATA,丹那拉打华小,TANAH RATA,39000,TANAH RATA,1/1/1964,101.3840166,4.469110339
PAHANG,PPD CAMERON HIGHLANDS,CBC1006,SEKOLAH JENIS KEBANGSAAN (CINA) BRINCHANG,碧兰璋华小,JALAN BESAR BRINCHANG,39100,BRINCHANG,1/1/1952,101.3876361,4.490768029
PAHANG,PPD CAMERON HIGHLANDS,CBC1007,SEKOLAH JENIS KEBANGSAAN (CINA) KG RAJA,甘榜拉惹华小,"JALAN BESAR KAMPUNG RAJA, CAMERON HIGHLANDS",39010,TANAH RATA,14/1/1952,101.4071083,4.566630556
PAHANG,PPD CAMERON HIGHLANDS,CBC1008,SEKOLAH JENIS KEBANGSAAN (CINA) BERTAM VALLEY,巴登威利华小,BERTAM VALLEY,39200,RINGLET,1/1/1948,101.398997,4.416717
PAHANG,PPD CAMERON HIGHLANDS,CBC1010,SEKOLAH JENIS KEBANGSAAN (CINA) TRINGKAP,直冷甲华小,"JALAN BESAR TRINGKAP,CAMERON HIGHLANDS",39100,BRINCHANG,1/4/1952,101.4270898,4.515894691
PAHANG,PPD CAMERON HIGHLANDS,CBC1011,SEKOLAH JENIS KEBANGSAAN (CINA) KEA FARM,美兰村华小,S.J.K.(C) KEA FARM,39100,BRINCHANG,4/1/1952,101.4113061,4.503355849
PAHANG,PPD JERANTUT,CBC2033,SEKOLAH JENIS KEBANGSAAN (CINA) SG JAN,双溪仁华小,JALAN BOMBA,27000,JERANTUT,1/1/1950,102.3628638,3.939283588
PAHANG,PPD JERANTUT,CBC2034,SEKOLAH JENIS KEBANGSAAN (CINA) BATU BALAI,华都巴来华小,KAMPUNG BATU BALAI,27030,JERANTUT,1/1/1953,102.1677002,3.975497235
PAHANG,PPD JERANTUT,CBC2035,SEKOLAH JENIS KEBANGSAAN (CINA) JERANSONG,而连宋华小,KG.JERANSONG,27000,JERANTUT,25/9/1960,102.3618461,3.860840608
PAHANG,PPD JERANTUT,CBC2036,SEKOLAH JENIS KEBANGSAAN (CINA) DAMAK,南唛华小,JALAN ULU CHEKA,27030,JERANTUT,20/9/1960,102.216484,3.947173382
PAHANG,PPD LIPIS,CBC3040,SEKOLAH JENIS KEBANGSAAN (CINA) MELA,美拿华小,W/P MELA,27010,JERANTUT,1/1/1955,102.273,4.07435
PAHANG,PPD LIPIS,CBC3041,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,立卑中华华小,"JALAN DATUK MAHMUD, SUNGAI KERPAN",27200,KUALA LIPIS,6/7/1955,102.0459308,4.186988741
PAHANG,PPD LIPIS,CBC3042,SEKOLAH JENIS KEBANGSAAN (CINA) PADANG TENGKU,巴登东姑华小,PADANG TENGKU,27100,KUALA LIPIS,1/1/1950,101.9929437,4.232943371
PAHANG,PPD LIPIS,CBC3043,SEKOLAH JENIS KEBANGSAAN (CINA) JERKOH,日利谷华小,JERKOH,27300,BENTA,1/1/1952,101.9555022,4.043481606
PAHANG,PPD LIPIS,CBC3044,SEKOLAH JENIS KEBANGSAAN (CINA) PENJOM,槟绒华小,KAMPUNG BARU PENJOM,27200,KUALA LIPIS,16/6/1951,102.006,4.11664
PAHANG,PPD LIPIS,CBC3045,SEKOLAH JENIS KEBANGSAAN (CINA) BENTA,文达华小,KAMPUNG SRI BENTA,27300,BENTA,2/8/1952,101.963,4.0188
PAHANG,PPD KUANTAN,CBC4040,SEKOLAH JENIS KEBANGSAAN (CINA) SEMAMBU,士满慕华小,SEMAMBU,25350,KUANTAN,1/1/1987,103.3101742,3.85556259
PAHANG,PPD KUANTAN,CBC4041,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHING,关丹中菁华小,TANAH PUTIH,25100,KUANTAN,1/1/1957,103.3142971,3.793209859
PAHANG,PPD KUANTAN,CBC4042,SEKOLAH JENIS KEBANGSAAN (CINA) KUANG HWA,关丹光华华小,INDERA MAHKOTA,25200,KUANTAN,1/1/1958,103.2750092,3.833197141
PAHANG,PPD KUANTAN,CBC4043,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHAI,关丹培才华小,JALAN AIR PUTIH,25300,KUANTAN,1/1/1932,103.3354216,3.835047094
PAHANG,PPD KUANTAN,CBC4044,SEKOLAH JENIS KEBANGSAAN (CINA) GAMBANG,甘孟华小,JALAN GAMBANG,26300,KUANTAN,1/1/1905,103.10093,3.70724
PAHANG,PPD KUANTAN,CBC4045,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE SHIAN,关丹育贤华小,KG JAYA GADING,26070,KUANTAN,1/1/1939,103.2062316,3.738222937
PAHANG,PPD KUANTAN,CBC4046,SEKOLAH JENIS KEBANGSAAN (CINA) KONG MIN,关丹公民华小,BESERAH,26100,KUANTAN,1/1/1926,103.3661042,3.859084236
PAHANG,PPD KUANTAN,CBC4047,SEKOLAH JENIS KEBANGSAAN (CINA) LEMBING,林明华小,SUNGAI LEMBING,26200,KUANTAN,1/1/1913,103.03606,3.91597
PAHANG,PPD KUANTAN,CBC4048,SEKOLAH JENIS KEBANGSAAN (CINA) PANCHING,关丹班珍华小,JALAN SUNGAI LEMBING,26090,KUANTAN,1/1/1946,103.14271,3.89802
PAHANG,PPD KUANTAN,CBC4050,SEKOLAH JENIS KEBANGSAAN (CINA) POOI MING,双溪索培民华小,SUNGAI SOI,25150,KUANTAN,26/11/1955,103.30377,3.73856
PAHANG,PPD KUANTAN,CBC4051,SEKOLAH JENIS KEBANGSAAN (CINA) TAMAN TAS,关丹达士园华小,"BATU 6, JALAN GAMBANG",25150,KUANTAN,1/1/1953,103.2524334,3.767565493
PAHANG,PPD KUANTAN,CBC4053,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHING 2,关丹中菁华小二校,KG TIRAM,25200,KUANTAN,2/1/2013,103.2906839,3.808728454
PAHANG,PPD PEKAN,CBC5064,SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN,北根中华华小,JALAN ENGKU MUDA MANSOR,26600,PEKAN,1/1/1926,103.3957927,3.489487529
PAHANG,PPD PEKAN,CBC5065,SEKOLAH JENIS KEBANGSAAN (CINA) KEE WHA,北根那示启华华小,NENASI,26680,PEKAN,1/1/1950,103.4459487,3.136842219
PAHANG,PPD PEKAN,CBC5066,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HWA,北根港口育华华小,KUALA PAHANG,26660,PEKAN,1/1/1955,103.4610887,3.531834202
PAHANG,PPD RAUB,CBC6031,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHING,劳勿中竞华小,JALAN LIPIS,27600,RAUB,1/1/1918,101.8591074,3.795684574
PAHANG,PPD RAUB,CBC6032,SEKOLAH JENIS KEBANGSAAN (CINA) SEMPALIT,劳勿新巴力华小,KAMPUNG BARU SEMPALIT,27600,RAUB,28/6/1952,101.8724328,3.800917162
PAHANG,PPD RAUB,CBC6033,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI RUAN,劳勿双溪兰华小,SUNGAI RUAN,27500,RAUB,1/1/1948,101.9418678,3.80955315
PAHANG,PPD RAUB,CBC6034,SEKOLAH JENIS KEBANGSAAN (CINA) YUH HWA,劳勿育华华小,BUKIT KOMAN,27600,RAUB,9/10/1907,101.8507759,3.816620347
PAHANG,PPD RAUB,CBC6035,SEKOLAH JENIS KEBANGSAAN (CINA) SG LUI,劳勿双溪内华小,KAMPUNG BARU SUNGAI LUI,27600,RAUB,1/1/1951,101.8468398,3.812282954
PAHANG,PPD RAUB,CBC6036,SEKOLAH JENIS KEBANGSAAN (CINA) CHEROH,劳勿积罗华小,KAMPUNG CHEROH,27620,RAUB,1/1/1938,101.8149336,3.90273421
PAHANG,PPD RAUB,CBC6037,SEKOLAH JENIS KEBANGSAAN (CINA) TRAS,劳勿都赖华小,KAMPUNG TRAS,27670,RAUB,1/1/1927,101.8114756,3.742635877
PAHANG,PPD RAUB,CBC6038,SEKOLAH JENIS KEBANGSAAN (CINA) SG CHETANG,劳勿双溪只登华小,KAMPUNG SUNGAI CHETANG,27670,RAUB,1/1/1952,101.8204641,3.710588835
PAHANG,PPD RAUB,CBC6039,SEKOLAH JENIS KEBANGSAAN (CINA) SANG LEE,劳勿生利华小,KAMPUNG SANG LEE,27670,RAUB,1/1/1946,101.8463845,3.656174381
PAHANG,PPD RAUB,CBC6040,SEKOLAH JENIS KEBANGSAAN (CINA) SG KLAU,劳勿双溪吉流华小,KAMPUNG SUNGAI KLAU,27630,RAUB,1/9/1964,101.9863882,3.743799301
PAHANG,PPD TEMERLOH,CBC7074,SEKOLAH JENIS KEBANGSAAN (CINA) KHEE CHEE,淡马鲁启智华小,JALAN HAMZAH,28000,TEMERLOH,1/1/1920,102.422,3.45241
PAHANG,PPD TEMERLOH,CBC7075,SEKOLAH JENIS KEBANGSAAN (CINA) MENTAKAB (1),文德甲中华华小一校,JALAN TEMERLOH,28400,MENTAKAB,1/1/1922,102.3519747,3.482760168
PAHANG,PPD TEMERLOH,CBC7076,SEKOLAH JENIS KEBANGSAAN (CINA) MENTAKAB (2),文德甲中华华小二校,JALAN TEMERLOH,28400,MENTAKAB,1/1/1962,102.3520225,3.482259968
PAHANG,PPD TEMERLOH,CBC7077,SEKOLAH JENIS KEBANGSAAN (CINA) LANCHANG,联增华小,"PEKAN LANCHANG, JALAN KARAK",28500,LANCHANG,1/1/1937,102.1890119,3.499109467
PAHANG,PPD TEMERLOH,CBC7078,SEKOLAH JENIS KEBANGSAAN (CINA) YEOW CHENG LUAN,文德甲姚贞暖华小,"KAW. PERINDUSTRIAN, MENTAKAB",28400,MENTAKAB,1/1/1956,102.3554502,3.4443696
PAHANG,PPD TEMERLOH,CBC7085,SEKOLAH JENIS KEBANGSAAN (CINA) KERDAU,吉道华小,JALAN JERANTUT,28010,KERDAU,1/1/1936,102.3698699,3.574812159
PAHANG,PPD TEMERLOH,CBC7087,SEKOLAH JENIS KEBANGSAAN (CINA) KUALA KRAU,瓜拉吉挠华小,KUALA KRAU,28050,TEMERLOH,1/1/1927,102.3696441,3.711122263
PAHANG,PPD TEMERLOH,CBC7088,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI KAWANG,双溪加旺华小,LADANG SUNGAI KAWANG,28500,LANCHANG,1/1/1935,102.1393607,3.471785233
PAHANG,PPD ROMPIN,CBC8016,SEKOLAH JENIS KEBANGSAAN (CINA) ROMPIN,云冰华小,JALAN SABAK,26800,KUALA ROMPIN,8/8/1936,103.4783205,2.799556815
PAHANG,PPD MARAN,CBC9063,SEKOLAH JENIS KEBANGSAAN (CINA) PEI MIN,斯里再也培民华小,JALAN MARAN KUANTAN,26500,MARAN,1/3/1963,102.875,3.67162
PAHANG,PPD MARAN,CBC9068,SEKOLAH JENIS KEBANGSAAN (CINA) MARAN,马兰华小,BANDAR MARAN,26500,MARAN,12/9/1955,102.772,3.58714
PAHANG,PPD BERA,CBCA079,SEKOLAH JENIS KEBANGSAAN (CINA) TRIANG (1),直凉华小一校,TRIANG,28300,TRIANG,1/1/1952,102.416,3.24692
PAHANG,PPD BERA,CBCA080,SEKOLAH JENIS KEBANGSAAN (CINA) TRIANG (2),直凉立德华小,"LOT PT 17961, JALAN TMN LITAR JAYA",28300,TRIANG,1/1/1965,102.422,3.2578
PAHANG,PPD BERA,CBCA082,SEKOLAH JENIS KEBANGSAAN (CINA) KERAYONG,吉拉央华小,KAMPUNG BARU KERAYONG,28200,BERA,1/1/1951,102.4544544,3.265383155
PAHANG,PPD BERA,CBCA083,SEKOLAH JENIS KEBANGSAAN (CINA) MENGKUANG,明光华小,MENGKUANG,28340,MENGKUANG,1/1/1943,102.399,3.18973
PAHANG,PPD BERA,CBCA084,SEKOLAH JENIS KEBANGSAAN (CINA) MENGKARAK,明加叻中正华小,KG. BARU MENGKARAK,28200,BANDAR BERA,1/1/1925,102.422,3.33142
PAHANG,PPD BERA,CBCA086,SEKOLAH JENIS KEBANGSAAN (CINA) KEMASUL,金马梳华小,JALAN LADANG KEMASUL,28200,MENGKARAK,1/1/1950,102.3934558,3.298333341
PAHANG,PPD BERA,CBCA088,SEKOLAH JENIS KEBANGSAAN (CINA) MENTERI,文德里华小,KG. MENTERI,28300,TRIANG,1/1/1945,102.415224,3.285953802
PAHANG,PPD BENTONG,CBK0026,SEKOLAH JENIS KEBANGSAAN (CINA) SG PENJURING,宋溪本祖令华小,"BATU 8,JALAN TRAS",28700,BENTONG,1/1/1953,101.8801153,3.612031979
PAHANG,PPD CAMERON HIGHLANDS,CBK1009,SEKOLAH JENIS KEBANGSAAN (CINA) KUALA TERLA,瓜拉德拉华小,JALAN BESAR KUALA TERLA,39000,TANAH RATA,1/1/1950,101.4151722,4.547330556
PAHANG,PPD MARAN,CBK9073,SEKOLAH JENIS KEBANGSAAN (CINA) JERIK,热力华小,SUNGAI JERIK,26400,BANDAR JENGKA,1/1/1956,102.6434911,3.786888554
PAHANG,PPD BERA,CBKA081,SEKOLAH JENIS KEBANGSAAN (CINA) KEMAYAN,金马扬华小,KEMAYAN,28380,KEMAYAN,19/9/1938,102.3694226,3.136259462
KELANTAN,PPD KOTA BHARU,DBC1119,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,哥打峇鲁中正华小,JALAN KELOCHOR,15300,KOTA BHARU,1/1/1949,102.2416596,6.13684339
KELANTAN,PPD KOTA BHARU,DBC1120,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,哥打峇鲁中华华小,JALAN KELOCHOR,15300,KOTA BHARU,21/9/1913,102.2397325,6.136585651
KELANTAN,PPD KOTA BHARU,DBC1121,SEKOLAH JENIS KEBANGSAAN (CINA) PEIR CHIH,哥打峇鲁培植华小,JALAN LONG YUNUS,15200,KOTA BHARU,1/1/1939,102.257,6.11638
KELANTAN,PPD MACHANG,DBC2184,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,东马岸中华华小,JALAN TEPI SUNGAI,18400,TEMANGAN,1/1/1951,102.1497551,5.707522091
KELANTAN,PPD MACHANG,DBC2185,SEKOLAH JENIS KEBANGSAAN (CINA) PEI HWA,马樟培华华小,JALAN BAHAGIA,18500,MACHANG,28/9/1939,102.223,5.76497
KELANTAN,PPD MACHANG,DBC2186,SEKOLAH JENIS KEBANGSAAN (CINA) POEY SIT,浮罗真隆培实华小,KAMPUNG PULAI CHONDONG,16600,PULAI CHONDONG,1/6/1939,102.23,5.87148
KELANTAN,PPD PASIR MAS,DBC3237,SEKOLAH JENIS KEBANGSAAN (CINA) KHAY BOON,兰斗班让启文华小,RANTAU PANJANG,17200,PASIR MAS,18/1/1955,101.976,6.01662
KELANTAN,PPD PASIR MAS,DBC3238,SEKOLAH JENIS KEBANGSAAN (CINA) YOK ENG,巴西马育英华小,JALAN MASJID LAMA,17000,PASIR MAS,27/11/1928,102.141,6.0395
KELANTAN,PPD PASIR MAS,DBC3239,SEKOLAH JENIS KEBANGSAAN (CINA) POY HWA,巴西巴力培华华小,PASIR PARIT,17060,PASIR MAS,1/1/1994,102.185,5.9217
KELANTAN,PPD PASIR PUTIH,DBC4285,SEKOLAH JENIS KEBANGSAAN (CINA) KAI CHIH,巴西富地开智华小,JALAN MANAN,16800,PASIR PUTEH,1/8/1928,102.401,5.83465
KELANTAN,PPD TANAH MERAH,DBC5322,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHENG,丹那美拉育正华小,JALAN PASIR MAS,17500,TANAH MERAH,1/1/1937,102.148,5.81109
KELANTAN,PPD TUMPAT,DBC6356,SEKOLAH JENIS KEBANGSAAN (CINA) YUK TZE,道北育智华小,KELABORAN TUMPAT,16200,TUMPAT,1/2/1916,102.1605161,6.188114406
KELANTAN,PPD KUALA KRAI,DBC7401,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI,瓜拉吉赖育才华小,JALAN PANGGONG,18000,KUALA KRAI,25/6/1920,102.202,5.52813
KELANTAN,PPD GUA MUSANG,DBC8001,SEKOLAH JENIS KEBANGSAAN (CINA) GUA MUSANG,话望生华小,"S.J.K.(C) GUA MUSANG, JLN PULAI, GUA MUSANG",18300,GUA MUSANG,1/1/1954,101.962,4.88183
KELANTAN,PPD GUA MUSANG,DBC8002,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG PULAI,话望生布赖新村华小,KAMPUNG PULAI,18300,GUA MUSANG,3/1/2012,101.952,4.79118
JOHOR,PPD BATU PAHAT,JBC0001,SEKOLAH JENIS KEBANGSAAN (CINA) AI CHUN 1,峇株巴辖爱群华小(一)校,"NO.1, JALAN MOHD KHALID",83000,BATU PAHAT,7/1/1924,102.930262,1.850407
JOHOR,PPD BATU PAHAT,JBC0002,SEKOLAH JENIS KEBANGSAAN (CINA) AI CHUN 2,峇株巴辖爱群华小(二)校,JALAN MOHD KHALID,83007,BATU PAHAT,7/1/1963,102.930257,1.850414
JOHOR,PPD BATU PAHAT,JBC0003,SEKOLAH JENIS KEBANGSAAN (CINA) BULOH,峇株巴辖普乐华小,"NO. 38, PARIT BULOH, TONGKANG PECHAH",83010,BATU PAHAT,30/6/1935,102.9875377,1.890810199
JOHOR,PPD BATU PAHAT,JBC0004,SEKOLAH JENIS KEBANGSAAN (CINA) CHENG SIU 1,峇株巴辖正修华小(一)校,"463, JALAN TANJUNG LABUH",83000,BATU PAHAT,4/7/1911,102.949681,1.833771988
JOHOR,PPD BATU PAHAT,JBC0005,SEKOLAH JENIS KEBANGSAAN (CINA) CHENG SIU 2,峇株巴辖正修华小(二)校,"NO. 463, JALAN TANJONG LABOH",83000,BATU PAHAT,4/1/1963,102.9497366,1.833789832
JOHOR,PPD BATU PAHAT,JBC0006,SEKOLAH JENIS KEBANGSAAN (CINA) CHERN HWA BUKIT PASIR,白沙浮振华华小,BUKIT PASIR,83050,BATU PAHAT,1/1/1932,102.9420358,1.875411475
JOHOR,PPD BATU PAHAT,JBC0007,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA SRI GADING,四加亭中华华小,SRI GADING,83300,BATU PAHAT,1/1/1927,103.0299219,1.856000979
JOHOR,PPD BATU PAHAT,JBC0008,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA SEGENTING,石文丁中华华小,"SEGENTING, MINYAK BEKU",83030,BATU PAHAT,1/1/1946,102.893093,1.788005945
JOHOR,PPD BATU PAHAT,JBC0009,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA SG.AYAM,亚音港中华华小,KUALA SUNGAI AYAM,83040,BATU PAHAT,1/1/1944,102.9315588,1.760517687
JOHOR,PPD BATU PAHAT,JBC0010,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA SENGGARANG,新加兰中华华小,JALAN GATE AIR,83200,BATU PAHAT,1/1/1938,103.053335,1.751718
JOHOR,PPD BATU PAHAT,JBC0011,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA PT KADIR,巴力加礼中华华小,"PT.KADIR,SENGGARANG",83200,SENGGARANG,1/3/1937,103.1068362,1.77260731
JOHOR,PPD BATU PAHAT,JBC0012,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA SRI MEDAN,铁山中华华小,JALAN BESAR SRI MEDAN,83400,BATU PAHAT,1/1/1946,102.9565889,1.981819097
JOHOR,PPD BATU PAHAT,JBC0013,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA RENGIT,龙引中华华小,RENGIT,83100,BATU PAHAT,1/2/1946,103.144878,1.680316586
JOHOR,PPD BATU PAHAT,JBC0014,SEKOLAH JENIS KEBANGSAAN (CINA) CHONG HWA KANGKAR SENANGGAR,巴力士隆港脚中华华小,"KANGKAR SENANGAR, PARIT SULONG",83500,BATU PAHAT,1/1/1970,102.881972,2.027098
JOHOR,PPD BATU PAHAT,JBC0015,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,新加兰中正华小,BT 7 JLN SENGGARANG,83200,BATU PAHAT,1/1/1946,102.9743352,1.772323664
JOHOR,PPD BATU PAHAT,JBC0016,SEKOLAH JENIS KEBANGSAAN (CINA) HUA MIN,峇株巴辖华民华小,"1,JALAN ROTAN AKAR, TAMAN SRI JAYA",83000,BATU PAHAT,1/1/1958,102.9481012,1.872608847
JOHOR,PPD BATU PAHAT,JBC0017,SEKOLAH JENIS KEBANGSAAN (CINA) HWA JIN,峇株巴辖华仁华小,JLN TANJUNG LABOH,83000,BATU PAHAT,31/12/1947,102.9467976,1.83538719
JOHOR,PPD BATU PAHAT,JBC0018,SEKOLAH JENIS KEBANGSAAN (CINA) HWA NAN,峇株巴辖华南华小,"LOT 2018, GM 535, JALAN PARIT IMAM",83000,BATU PAHAT,1/1/1936,102.9784027,1.872591547
JOHOR,PPD BATU PAHAT,JBC0019,SEKOLAH JENIS KEBANGSAAN (CINA) KONG NAN,巴力拉惹光南华小,PARIT RAJA,86400,PARIT RAJA,1/1/1968,103.1166522,1.866526021
JOHOR,PPD BATU PAHAT,JBC0020,SEKOLAH JENIS KEBANGSAAN (CINA) KANGKAR BAHRU,永平新港华小,"JALAN PALOH, KANGKAR BAHRU, YONG PENG",83700,BATU PAHAT,15/3/1937,103.1266625,2.0601408
JOHOR,PPD BATU PAHAT,JBC0021,SEKOLAH JENIS KEBANGSAAN (CINA) LAM LEE,永平南利华小,KG LAM LEE,83720,YONG PENG,1/1/1952,103.0466234,2.094474843
JOHOR,PPD BATU PAHAT,JBC0022,SEKOLAH JENIS KEBANGSAAN (CINA) LI CHUN,巴力加心励群华小,"2, KG PT KASSIM LAUT,MK 6",83000,BATU PAHAT,1/1/1939,102.9125009,1.913361933
JOHOR,PPD BATU PAHAT,JBC0023,SEKOLAH JENIS KEBANGSAAN (CINA) MALAYAN,亚依淡马华华小,104 JALAN SEROJA AYER HITAM,86100,BATU PAHAT,22/5/1948,103.180127,1.914979617
JOHOR,PPD BATU PAHAT,JBC0025,SEKOLAH JENIS KEBANGSAAN (CINA) PANCHOR,班卒华小,"BT 6, JLN KLUANG",83300,BATU PAHAT,1/1/1961,103.0029885,1.866790211
JOHOR,PPD BATU PAHAT,JBC0026,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN,圣模那培群华小,PEKAN SEMERAH,83600,BATU PAHAT,1/1/1960,102.780791,1.884112147
JOHOR,PPD BATU PAHAT,JBC0027,SEKOLAH JENIS KEBANGSAAN (CINA) PING MING,米那务固平民华小,BT 4 1/2 MINYAK BEKU,83030,BATU PAHAT,28/2/1946,102.9067775,1.800760984
JOHOR,PPD BATU PAHAT,JBC0028,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA,白沙浮新华华小,"TAMAN MAJU, BUKIT PASIR",83050,BATU PAHAT,1/1/1930,102.9439552,1.870385003
JOHOR,PPD BATU PAHAT,JBC0029,SEKOLAH JENIS KEBANGSAAN (CINA) SIN HWA,巴力双倪新华华小,"PARIT SANGIT, SEMERAH",83600,BATU PAHAT,1/1/1937,102.8033718,1.869357041
JOHOR,PPD BATU PAHAT,JBC0030,SEKOLAH JENIS KEBANGSAAN (CINA) SULONG,巴力士隆树人华小,PARIT SULONG,83500,BATU PAHAT,1/1/1921,102.8823553,1.976326186
JOHOR,PPD BATU PAHAT,JBC0031,SEKOLAH JENIS KEBANGSAAN (CINA) TONGKANG,峇株巴辖中江华小,TONGKANG PECHAH,83010,TONGKANG PECHAH,7/7/1955,102.956363,1.917764748
JOHOR,PPD BATU PAHAT,JBC0032,SEKOLAH JENIS KEBANGSAAN (CINA) TUNG CHENG,峇眼同正华小,BAGAN,83000,BATU PAHAT,1/1/1925,102.8590082,1.847120152
