Code,Name,Name_Chinese,Address,Postcode,City,State,District_Education_Office,Established,X,Y
XFE2054,SEKOLAH MENENGAH KEBANGSAAN SUNG SIEW,山打根双修国民型华文中学,PETI SURAT 12,90700,SANDAKAN,SABAH,PPD SANDAKAN,4/9/1907,118.11161,5.84453
XFE4021,SEKOLAH MENENGAH KEBANGSAAN TINGGI KOTA KINABALU,亚庇中学,PETI SURAT 10224,88802,KOTA KINABALU,SABAH,PPD KOTA KINABALU,1/1/1949,116.0714239,5.946539442
XFE4027,SEKOLAH MENENGAH KEBANGSAAN LOK YUK LIKAS,里卡士乐育国民型华文中学,PETI SURAT 10352,88803,KOTA KINABALU,SABAH,PPD KOTA KINABALU,1/2/1934,116.09997,5.98761
XFE4045,SEKOLAH MENENGAH KEBANGSAAN SHAN TAO,亚庇善导国民型华文中学,PETI SURAT 11080,88811,KOTA KINABALU,SABAH,PPD KOTA KINABALU,1/1/1963,116.1018893,5.982966623
XFE5036,SEKOLAH MENENGAH KEBANGSAAN LOK YUK KUDAT,古达乐育国民型华文中学,PETI SURAT 182,89058,KUDAT,SABAH,PPD KUDAT,1/1/1968,116.8472,6.89403
YFB1201,SEKOLAH MENENGAH KEBANGSAAN TINGGI KUCHING,古晋中学（国民型）,JALAN MATHIE,93100,KUCHING,SARAWAK,PPD KUCHING,1/1/1963,110.3494,1.554516667
YFB3104,SEKOLAH MENENGAH KEBANGSAAN TIONG HIN,诗巫中兴国民型华文中学,"JALAN IGAN, SG. MERAH",96000,SIBU,SARAWAK,PPD SIBU,1/1/1939,111.8386667,2.3289
YFB3105,SEKOLAH MENENGAH KEBANGSAAN TUNG HUA,诗巫敦化国民型华文中学,"JALAN TUN ABANG HAJI OPENG, PETI SURAT 64",96007,SIBU,SARAWAK,PPD SIBU,1/1/1934,111.8302667,2.30965
YFB3106,SEKOLAH MENENGAH KEBANGSAAN CHUNG HUA,诗巫中华国民型华文中学,JLN LANANG,96000,SIBU,SARAWAK,PPD SIBU,1/8/1916,111.8449333,2.271183333
YFB3201,SEKOLAH MENENGAH KEBANGSAAN CHUNG CHENG,诗巫中正国民型华文中学,PETI SURAT 1360,96008,SIBU,SARAWAK,PPD SIBU,1/1/1958,111.772829,2.2444722
YFB3203,SEKOLAH MENENGAH KEBANGSAAN KWONG HUA MIDDLE,诗巫光华国民型华文中学,PETI SURAT 1063,96008,SIBU,SARAWAK,PPD SIBU,1/1/1931,111.8031541,2.2444159
YFB4101,SEKOLAH MENENGAH KEBANGSAAN CHUNG HUA,美里中华国民型华文中学,"PETI SURAT 116, JLN BRIGHTON",98007,MIRI,SARAWAK,PPD MIRI,1/1/1953,113.9777167,4.3782
YFB6101,SEKOLAH MENENGAH KEBANGSAAN TINGGI SARIKEI,泗里街高级中学,PETI SURAT 78,96107,SARIKEI,SARAWAK,PPD SARIKEI,1/1/1939,111.52595,2.089083333
YFB6301,SEKOLAH MENENGAH KEBANGSAAN KAI CHUNG,民丹莪开中国民型华文中学,PETI SURAT 100,96507,BINTANGOR,SARAWAK,PPD MERADONG,1/1/1952,111.6372734,2.165669684
YFB6302,SEKOLAH MENENGAH KEBANGSAAN TONG HUA,民丹莪东华国民型华文中学,"D/A PEJABAT PENDIDIKAN DAERAH MERADONG, JALAN BERJAYA",96500,BINTANGOR,SARAWAK,PPD MERADONG,1/1/1947,111.738124,2.154229
